Dataset,Backbone,Seed,Frozen_Acc,SETTA_Acc,Delta,Improved,Tied,Worse,Test_Change_Rate,Test_Prob_L1_Shift,Alpha,Beta,K,Metric,Num_Props,Train_Time,SETTA_Time,Preprocess_Time,Used_Cache
Computers,GraphSAGE,48,88.86566162109375,88.75659108161926,-0.1090705394744873,0,0,1,2.3086711764335632,0.04419847950339317,0.4,1.0,25,cosine,1,0.0,0.062074000015854836,2.0041293000103906,1
Computers,GraphSAGE,49,88.86566162109375,88.70205283164978,-0.16360878944396973,0,0,1,1.9269224256277084,0.043583743274211884,0.4,1.0,25,cosine,1,0.0,0.06200280005577952,2.0041293000103906,1
Computers,GraphSAGE,50,88.96564245223999,89.15651440620422,0.1908719539642334,1,0,0,2.117796801030636,0.04335646703839302,0.4,1.0,25,cosine,1,0.0,0.062245900044217706,2.0041293000103906,1
Computers,GraphSAGE,51,88.10216188430786,87.97491192817688,-0.12724995613098145,0,0,1,2.163243107497692,0.04705541953444481,0.4,1.0,25,cosine,1,0.0,0.0621066999156028,2.0041293000103906,1
Computers,GAT,42,89.02018070220947,89.05653357505798,0.03635287284851074,1,0,0,1.9269224256277084,0.04797391593456268,0.4,1.0,25,cosine,1,0.0,0.06187780003529042,2.0041293000103906,1
Computers,GAT,43,88.71114253997803,88.71114253997803,0.0,0,1,0,1.4179239980876446,0.04229215532541275,0.4,1.0,25,cosine,1,0.0,0.06230550003238022,2.0041293000103906,1
Computers,GAT,44,89.14742469787598,89.3019437789917,0.15451908111572266,1,0,0,1.4179239980876446,0.04447318613529205,0.4,1.0,25,cosine,1,0.0,0.061984899919480085,2.0041293000103906,1
Computers,GAT,45,88.89293074607849,88.79294395446777,-0.09998679161071777,0,0,1,1.5360843390226364,0.041901882737874985,0.4,1.0,25,cosine,1,0.0,0.06225600000470877,2.0041293000103906,1
Computers,GAT,46,89.3019437789917,89.3019437789917,0.0,0,1,0,1.5997091308236122,0.042247671633958817,0.4,1.0,25,cosine,1,0.0,0.0630407000426203,2.0041293000103906,1
Computers,GAT,47,89.14742469787598,89.40192461013794,0.2544999122619629,1,0,0,1.7269587144255638,0.04528230428695679,0.4,1.0,25,cosine,1,0.0,0.062054799986071885,2.0041293000103906,1
Computers,GAT,48,89.2837643623352,89.43828344345093,0.15451908111572266,1,0,0,1.436102483421564,0.04197779297828674,0.4,1.0,25,cosine,1,0.0,0.06184720003511757,2.0041293000103906,1
Computers,GAT,49,88.929283618927,88.95655274391174,0.02726912498474121,1,0,0,1.3815670274198055,0.04204653576016426,0.4,1.0,25,cosine,1,0.0,0.06190339999739081,2.0041293000103906,1
